timestamp,lstm_weekly
2018-10-07,47.82012200118348
2018-10-14,50.782589726500454
2018-10-21,52.13356172635575
2018-10-28,52.49771321410698
2018-11-04,52.610949210748785
2018-11-11,52.5467080669239
2018-11-18,52.470675709447484
2018-11-25,52.465100010476895
2018-12-02,52.48944884208946
2018-12-09,52.51314431039751
2018-12-16,52.53560237220602
2018-12-23,52.56619158023655
2018-12-30,52.61850371017447
2019-01-06,52.709464767984116
2019-01-13,52.858667671194766
2019-01-20,53.12923682762657
2019-01-27,53.58518028209661
2019-02-03,53.87867632517557
2019-02-10,54.031877745600596
2019-02-17,54.137864925169325
2019-02-24,54.222158456612036
2019-03-03,54.288498026157846
2019-03-10,54.338939336749505
2019-03-17,54.37609090962575
2019-03-24,54.402753579121324
2019-03-31,54.42149554521521
2019-04-07,54.43444896229602
2019-04-14,54.44327681547206
2019-04-21,54.44921998515505
2019-04-28,54.453177936619156
2019-05-05,54.45578794607776
2019-05-12,54.45749333397974
2019-05-19,54.458598335601515
2019-05-26,54.459307083152474
2019-06-02,54.459759031969476
2019-06-09,54.46004454254115
2019-06-16,54.46022313532944
2019-06-23,54.46033410966862
2019-06-30,54.4604028425843
2019-07-07,54.46044428343757
2019-07-14,54.460469424752525
2019-07-21,54.460484076751634
2019-07-28,54.460492374817264
2019-08-04,54.46049712786661
2019-08-11,54.460500189413324
2019-08-18,54.46050231491065
2019-08-25,54.46050300960977
2019-09-01,54.46050368982531
2019-09-08,54.46050427121926
2019-09-15,54.46050452795031
2019-09-22,54.46050441695227
2019-09-29,54.460503890801
2019-10-06,54.46050367162471
2019-10-13,54.46050343758031
2019-10-20,54.46050334491104
2019-10-27,54.46050335183239
2019-11-03,54.46050338759274
2019-11-10,54.46050378249458
2019-11-17,54.46050416598899
2019-11-24,54.46050411074632
2019-12-01,54.460503787621505
2019-12-08,54.460503530762274
2019-12-15,54.46050383645553
2019-12-22,54.46050426186261
2019-12-29,54.46050474443497
2020-01-05,54.46050427647436
2020-01-12,54.46050432210404
2020-01-19,54.46050423007564
2020-01-26,54.4605042293066
2020-02-02,54.460503748272316
2020-02-09,54.460503057931085
2020-02-16,54.46050299858687
2020-02-23,54.4605033738782
2020-03-01,54.460503191359464
2020-03-08,54.46050322224922
2020-03-15,54.46050348410721
2020-03-22,54.46050354998827
2020-03-29,54.460503612793175
2020-04-05,54.46050342386577
2020-04-12,54.46050334696181
2020-04-19,54.460503186617046
2020-04-26,54.46050328877114
2020-05-03,54.46050366701046
2020-05-10,54.46050357203407
2020-05-17,54.46050355575606
2020-05-24,54.46050358690216
2020-05-31,54.46050337259647
2020-06-07,54.46050349013136
2020-06-14,54.460503689440785
2020-06-21,54.46050349243848
2020-06-28,54.46050315649634
2020-07-05,54.460503395539476
2020-07-12,54.460503419892405
2020-07-19,54.460503286976724
2020-07-26,54.460503286976724
2020-08-02,54.46050335478038
2020-08-09,54.46050325044733
2020-08-16,54.46050347898028
2020-08-23,54.46050349500194
2020-08-30,54.46050352678891
2020-09-06,54.46050343719579
2020-09-13,54.460503504358584
2020-09-20,54.46050348000566
2020-09-27,54.46050360061671
2020-10-04,58.22969806000206
