model,MAE,RMSE,MASE,Bias,vs_snaive_%
bayesian,1.5993,2.162,1.1595,1.2542,-28.0
feature_model,1.9035,2.5803,1.38,1.3829,-14.1
random_forest,1.9601,2.5969,1.4211,1.1653,-13.5
seasonal_naive,2.3148,3.0029,1.6782,1.736,0.0
sarimax_temp_holiday,2.8669,3.6494,2.0785,2.7286,21.5
sarimax_temp,3.1214,3.9334,2.263,2.9683,31.0
sarima,3.3865,4.132,2.4552,3.2683,37.6
naive,3.7803,4.4569,2.7407,-0.8816,48.4
mean,3.8215,4.4435,2.7706,0.8106,48.0
lstm,4.0264,4.7835,2.9192,-0.9859,59.3
drift,4.6326,5.5266,3.3586,1.6552,84.0
